event,start_time,end_time,
Baby and Toddler Story Time,2023-06-18T10:30:00-07:00,2023-06-18T11:15:00-07:00,test
Toddler Story Time,2023-06-17T10:30:00-07:00,2023-06-17T11:15:00-07:00,test
Free Legal Help at DC Public Library,2023-07-29T10:00:00-07:00,2023-07-29T10:45:00-07:00,test
Adult Learning Lab,2023-07-29T10:00:00-07:00,2023-07-29T10:45:00-07:00,test
Story Time at Chinatown Parks,2023-06-25T10:30:00-07:00,2023-06-25T11:15:00-07:00,test
One on One Market Research Assistance for Small Businesses,2023-06-01T14:00:00-07:00,2023-06-01T14:45:00-07:00,test
Preschool Story Time,2023-07-23T11:00:00-07:00,2023-07-23T11:45:00-07:00,test
Morning English Conversation Groups,2023-08-07T10:00:00-07:00,2023-08-07T10:45:00-07:00,test
Baby/Toddler Story Time,2023-08-15T10:00:00-07:00,2023-08-15T10:45:00-07:00,test
Job Seekers Drop-in Clinic,2023-07-18T13:00:00-07:00,2023-07-18T13:45:00-07:00,test
Mid-Day Movies,2023-07-18T13:00:00-07:00,2023-07-18T13:45:00-07:00,test
Pacific Rhythm,2023-07-18T13:00:00-07:00,2023-07-18T13:45:00-07:00,test
Toddler Story Time,2023-08-15T10:30:00-07:00,2023-08-15T11:15:00-07:00,test
Baby Lap Time,2023-08-05T13:00:00-07:00,2023-08-05T13:45:00-07:00,test
Preschool Story Time,2023-08-07T10:30:00-07:00,2023-08-07T11:15:00-07:00,test
Preschool Story Time,2023-07-31T11:00:00-07:00,2023-07-31T11:45:00-07:00,test
One on One Market Research Assistance for Small Businesses,2023-06-01T14:00:00-07:00,2023-06-01T14:45:00-07:00,test
Wiggle Time,2023-06-06T10:30:00-07:00,2023-06-06T11:15:00-07:00,test
Baby Lap Time,2023-08-06T10:30:00-07:00,2023-08-06T11:15:00-07:00,test
Baby and Toddler Story Time,2023-06-10T13:30:00-07:00,2023-06-10T14:15:00-07:00,test
King Bullfrog Music Time!,2023-06-07T10:00:00-07:00,2023-06-07T10:45:00-07:00,test
People and Stories,2023-06-11T12:00:00-07:00,2023-06-11T12:45:00-07:00,test
Baby/Toddler Story Time,2023-07-29T10:00:00-07:00,2023-07-29T10:45:00-07:00,test
Baby and Toddler Story Time,2023-07-17T11:00:00-07:00,2023-07-17T11:45:00-07:00,test
Job Seekers Clinic,2023-07-17T11:00:00-07:00,2023-07-17T11:45:00-07:00,test
Grupo de Juego Comunitario Mensual,2023-08-13T12:30:00-07:00,2023-08-13T13:15:00-07:00,test
Sewing 101,2023-08-13T13:00:00-07:00,2023-08-13T13:45:00-07:00,test
"1,2,3 Andr̩s",2023-06-01T14:00:00-07:00,2023-06-01T14:45:00-07:00,test
Preschool Story Time,2023-08-14T10:30:00-07:00,2023-08-14T11:15:00-07:00,test
Preschool Story Time,2023-08-14T10:30:00-07:00,2023-08-14T11:15:00-07:00,test
Baby Lap Time,2023-07-18T14:00:00-07:00,2023-07-18T14:45:00-07:00,test
Adult Learning Lab,2023-07-22T10:00:00-07:00,2023-07-22T10:45:00-07:00,test
Baby Lap Time,2023-07-29T13:00:00-07:00,2023-07-29T13:45:00-07:00,test
Adult Knitting Club,2023-08-07T16:00:00-07:00,2023-08-07T16:45:00-07:00,test
Adult Learning Lab,2023-08-05T10:00:00-07:00,2023-08-05T10:45:00-07:00,test
Toddler Story Time,2023-08-05T10:30:00-07:00,2023-08-05T11:15:00-07:00,test
Yoga Mondays,2023-08-05T10:30:00-07:00,2023-08-05T11:15:00-07:00,test
Baby and Toddler Story Time (Registration Required),2023-06-17T10:00:00-07:00,2023-06-17T10:45:00-07:00,test
Tango,2023-06-01T14:30:00-07:00,2023-06-01T15:15:00-07:00,test
Color My World,2023-06-17T16:00:00-07:00,2023-06-17T16:45:00-07:00,test
Preschool Story Time,2023-06-04T11:00:00-07:00,2023-06-04T11:45:00-07:00,test
Fab Test Lab Safety Orientation,2023-06-14T17:00:00-07:00,2023-06-14T17:45:00-07:00,test
Weekly Yoga Practice,2023-07-31T19:00:00-07:00,2023-07-31T19:45:00-07:00,test
This is My Story: Memoir Writing at the Petworth Writers' Workshops,2023-08-12T09:30:00-07:00,2023-08-12T10:15:00-07:00,test
Color My World,2023-06-10T16:00:00-07:00,2023-06-10T16:45:00-07:00,test
Big Kid Blockbusters,2023-08-15T13:00:00-07:00,2023-08-15T13:45:00-07:00,test
Preschool Story Time (Registration Required),2023-08-06T10:00:00-07:00,2023-08-06T10:45:00-07:00,test
Preschool Story Time,2023-08-14T10:30:00-07:00,2023-08-14T11:15:00-07:00,test
Coffee & Conversation,2023-08-14T10:30:00-07:00,2023-08-14T11:15:00-07:00,test
Toddler Story Time,2023-06-10T10:30:00-07:00,2023-06-10T11:15:00-07:00,test
Game Day,2023-06-02T14:00:00-07:00,2023-06-02T14:45:00-07:00,test
Morning English Conversation Groups,2023-08-05T10:00:00-07:00,2023-08-05T10:45:00-07:00,test
Yoga Mondays,2023-08-19T10:30:00-07:00,2023-08-19T11:15:00-07:00,test
Library on the Go-Go at FRESHFARM Penn Quarter Market,2023-06-27T15:00:00-07:00,2023-06-27T15:45:00-07:00,test
Bilingual Spanish Story Time,2023-08-13T11:00:00-07:00,2023-08-13T11:45:00-07:00,test
Family Story Time,2023-08-17T10:30:00-07:00,2023-08-17T11:15:00-07:00,test
Baby Lap Time (Registration required),2023-08-29T10:00:00-07:00,2023-08-29T10:45:00-07:00,test
Family Story Time,2023-08-05T10:30:00-07:00,2023-08-05T11:15:00-07:00,test
Baby/Toddler Story Time,2023-08-08T10:00:00-07:00,2023-08-08T10:45:00-07:00,test
Toddler Story Time,2023-08-08T10:30:00-07:00,2023-08-08T11:15:00-07:00,test
Wiggle Time,2023-08-08T10:30:00-07:00,2023-08-08T11:15:00-07:00,test
This is My Story: Memoir Writing at the Petworth Writers' Workshops,2023-06-03T09:30:00-07:00,2023-06-03T10:15:00-07:00,test
Coffee & Conversation,2023-08-28T14:00:00-07:00,2023-08-28T14:45:00-07:00,test
Baby Lap Time,2023-08-28T14:00:00-07:00,2023-08-28T14:45:00-07:00,test
Adult Learning Lab,2023-08-28T16:00:00-07:00,2023-08-28T16:45:00-07:00,test
Baby Lap Time,2023-08-07T14:00:00-07:00,2023-08-07T14:45:00-07:00,test
Baby Lap Time,2023-08-07T13:00:00-07:00,2023-08-07T13:45:00-07:00,test
Science in the Summer,2023-07-23T13:00:00-07:00,2023-07-23T13:45:00-07:00,test
1-on-1 Ayuda para la computadora,2023-07-24T00:00:00-07:00,2023-07-24T00:45:00-07:00,test
Baby and Toddler Story Time,2023-06-19T10:30:00-07:00,2023-06-19T11:15:00-07:00,test
Toddler Story Time,2023-07-04T10:30:00-07:00,2023-07-04T11:15:00-07:00,test
Baby/Toddler Story Time,2023-07-09T10:00:00-07:00,2023-07-09T10:45:00-07:00,test
LEGO fun!,2023-06-01T09:30:00-07:00,2023-06-01T10:15:00-07:00,test
Legos After Lunch,2023-07-05T14:00:00-07:00,2023-07-05T14:45:00-07:00,test
Pajama Story Time,2023-06-20T18:00:00-07:00,2023-06-20T18:45:00-07:00,test
Baby/Toddler Story Time,2023-07-02T10:00:00-07:00,2023-07-02T10:45:00-07:00,test
Saturday Morning Yoga,2023-07-13T10:00:00-07:00,2023-07-13T10:45:00-07:00,test
Preschool Story Time,2023-07-10T10:00:00-07:00,2023-07-10T10:45:00-07:00,test
Small Business Development Workshop,2023-07-06T14:00:00-07:00,2023-07-06T14:45:00-07:00,test
Preschool Story Time,2023-06-05T10:30:00-07:00,2023-06-05T11:15:00-07:00,test
Game Day,2023-06-09T14:00:00-07:00,2023-06-09T14:45:00-07:00,test
Baby and Toddler Time,2023-08-28T11:00:00-07:00,2023-08-28T11:45:00-07:00,test
Preschool Story Time,2023-08-28T11:15:00-07:00,2023-08-28T12:00:00-07:00,test
Little Builders,2023-06-01T10:00:00-07:00,2023-06-01T10:45:00-07:00,test
#brownbagdc Book Chat,2023-08-28T12:00:00-07:00,2023-08-28T12:45:00-07:00,test
Get Crafty!,2023-06-18T16:00:00-07:00,2023-06-18T16:45:00-07:00,test
Fab Test Lab: Embroidery 101,2023-06-14T12:00:00-07:00,2023-06-14T12:45:00-07:00,test
Friends of Palisades Library Book Sale,2023-06-15T13:00:00-07:00,2023-06-15T13:45:00-07:00,test
Morning English Conversation Groups,2023-07-15T10:00:00-07:00,2023-07-15T10:45:00-07:00,test
Adult Learning Lab,2023-07-16T10:00:00-07:00,2023-07-16T10:45:00-07:00,test
LEGO Club,2023-08-15T16:00:00-07:00,2023-08-15T16:45:00-07:00,test
Preschool Story Time,2023-08-15T16:00:00-07:00,2023-08-15T16:45:00-07:00,test
Senior Tech Drop-in Clinic,2023-08-06T13:00:00-07:00,2023-08-06T13:45:00-07:00,test
Legos After Lunch,2023-07-29T14:00:00-07:00,2023-07-29T14:45:00-07:00,test
Improv Classes with Washington Improv Theater,2023-06-15T13:00:00-07:00,2023-06-15T13:45:00-07:00,test
Job Seekers Clinic,2023-08-14T11:00:00-07:00,2023-08-14T11:45:00-07:00,test
Baby and Toddler Story Time,2023-08-05T11:15:00-07:00,2023-08-05T12:00:00-07:00,test
Wonderful Ones,2023-08-06T15:30:00-07:00,2023-08-06T16:15:00-07:00,test
Senior Tech Drop-in Clinic,2023-07-09T13:00:00-07:00,2023-07-09T13:45:00-07:00,test
Kid's Chess Club,2023-07-11T17:00:00-07:00,2023-07-11T17:45:00-07:00,test
DC Writes! A Petworth Writers Workshop,2023-07-10T19:00:00-07:00,2023-07-10T19:45:00-07:00,test
Family Story Time,2023-07-27T10:30:00-07:00,2023-07-27T11:15:00-07:00,test
Baby/Toddler Story Time,2023-07-23T10:00:00-07:00,2023-07-23T10:45:00-07:00,test
Adult Learning Lab,2023-07-17T16:00:00-07:00,2023-07-17T16:45:00-07:00,test
PAL Family Story Time,2023-07-20T10:30:00-07:00,2023-07-20T11:15:00-07:00,test
Fab Test Lab Safety Orientation,2023-06-15T13:00:00-07:00,2023-06-15T13:45:00-07:00,test
Baby Lap Time,2023-06-10T14:00:00-07:00,2023-06-10T14:45:00-07:00,test
Memory Lab Drop-In,2023-06-12T10:00:00-07:00,2023-06-12T10:45:00-07:00,test
"Free film showing: ""Together""",2023-06-10T18:30:00-07:00,2023-06-10T19:15:00-07:00,test
Adult Learning Lab,2023-06-18T16:00:00-07:00,2023-06-18T16:45:00-07:00,test
The Cleveland Park Mystery Book Club,2023-06-06T18:30:00-07:00,2023-06-06T19:15:00-07:00,test
Baby and Toddler Time,2023-06-12T10:30:00-07:00,2023-06-12T11:15:00-07:00,test
Weekly Yoga Practice,2023-08-14T19:00:00-07:00,2023-08-14T19:45:00-07:00,test
Tango,2023-08-03T14:30:00-07:00,2023-08-03T15:15:00-07:00,test
Toddler Story Time,2023-07-15T10:30:00-07:00,2023-07-15T11:15:00-07:00,test
Toddler Story Time,2023-08-12T10:30:00-07:00,2023-08-12T11:15:00-07:00,test
Memory Lab Pop-Up,2023-06-15T13:00:00-07:00,2023-06-15T13:45:00-07:00,test
Technology Tomorrow,2023-06-17T11:30:00-07:00,2023-06-17T12:15:00-07:00,test
Memory Lab Weekend Drop-In,2023-07-27T10:00:00-07:00,2023-07-27T10:45:00-07:00,test
ESL Conversation Circles,2023-07-27T10:00:00-07:00,2023-07-27T10:45:00-07:00,test
Family Story Time,2023-07-27T10:30:00-07:00,2023-07-27T11:15:00-07:00,test
Family Story Time,2023-07-27T10:30:00-07:00,2023-07-27T11:15:00-07:00,test
Baby and Toddler Story Time,2023-08-05T13:30:00-07:00,2023-08-05T14:15:00-07:00,test
Adult Learning Lab,2023-08-13T16:00:00-07:00,2023-08-13T16:45:00-07:00,test
Toddler Explorations,2023-08-14T10:30:00-07:00,2023-08-14T11:15:00-07:00,test
Baby and Toddler Story Time,2023-08-07T11:00:00-07:00,2023-08-07T11:45:00-07:00,test
Palisades Writers Workshop,2023-06-13T19:00:00-07:00,2023-06-13T19:45:00-07:00,test
Kick Off Summer Challenge with Summer Stories!,2023-06-15T11:00:00-07:00,2023-06-15T11:45:00-07:00,test
Gaming Club,2023-06-14T15:30:00-07:00,2023-06-14T16:15:00-07:00,test
Baby/Toddler Story Time,2023-07-22T10:00:00-07:00,2023-07-22T10:45:00-07:00,test
Baby and Toddler Story Time,2023-07-22T10:15:00-07:00,2023-07-22T11:00:00-07:00,test
Toddler Story Time,2023-07-22T10:30:00-07:00,2023-07-22T11:15:00-07:00,test
Adult Learning Lab,2023-07-23T16:00:00-07:00,2023-07-23T16:45:00-07:00,test
One on One Market Research Assistance for Small Businesses,2023-08-01T14:00:00-07:00,2023-08-01T14:45:00-07:00,test
Preschool Story Time,2023-07-24T10:30:00-07:00,2023-07-24T11:15:00-07:00,test
English Conversation Circle,2023-07-10T10:00:00-07:00,2023-07-10T10:45:00-07:00,test
Adult Learning Lab,2023-07-06T10:00:00-07:00,2023-07-06T10:45:00-07:00,test
Family Story Time,2023-07-06T10:30:00-07:00,2023-07-06T11:15:00-07:00,test
Coyaba Dance Theater,2023-06-15T11:00:00-07:00,2023-06-15T11:45:00-07:00,test
Free Poetry Workshop - Poets on the Fringe,2023-07-15T19:00:00-07:00,2023-07-15T19:45:00-07:00,test
Music and Movement,2023-08-23T10:30:00-07:00,2023-08-23T11:15:00-07:00,test
Game Day,2023-08-04T14:00:00-07:00,2023-08-04T14:45:00-07:00,test
English Conversation Circle,2023-08-05T10:00:00-07:00,2023-08-05T10:45:00-07:00,test
Baby and Toddler Story Time (Registration Required),2023-08-05T10:00:00-07:00,2023-08-05T10:45:00-07:00,test
Coffee and Conversation at Deanwood Neighborhood Library,2023-08-05T10:00:00-07:00,2023-08-05T10:45:00-07:00,test
DC Writes! A Petworth Writers Workshop,2023-08-07T19:00:00-07:00,2023-08-07T19:45:00-07:00,test
"Diane Macklin, Storyteller",2023-07-30T13:00:00-07:00,2023-07-30T13:45:00-07:00,test
Wonderful Ones,2023-07-30T15:30:00-07:00,2023-07-30T16:15:00-07:00,test
Baby/Toddler Story Time,2023-07-04T10:00:00-07:00,2023-07-04T10:45:00-07:00,test
Preschool Story Time,2023-06-19T10:30:00-07:00,2023-06-19T11:15:00-07:00,test
Baby Lap Time,2023-07-17T14:00:00-07:00,2023-07-17T14:45:00-07:00,test
Northeast Writing Class,2023-07-17T14:00:00-07:00,2023-07-17T14:45:00-07:00,test
Family Story Time,2023-08-19T10:30:00-07:00,2023-08-19T11:15:00-07:00,test
Adult Learning Lab,2023-08-19T16:00:00-07:00,2023-08-19T16:45:00-07:00,test
Pok̩mon Club,2023-08-19T16:00:00-07:00,2023-08-19T16:45:00-07:00,test
Kids' Club: STEM Time,2023-08-19T16:30:00-07:00,2023-08-19T17:15:00-07:00,test
Get Your Spell On,2023-08-19T17:00:00-07:00,2023-08-19T17:45:00-07:00,test
Yoga Mondays with Yolanda,2023-08-19T18:30:00-07:00,2023-08-19T19:15:00-07:00,test
Short Trips: A Short Story Book Club,2023-08-19T18:30:00-07:00,2023-08-19T19:15:00-07:00,test
Yoga Mondays,2023-07-22T10:30:00-07:00,2023-07-22T11:15:00-07:00,test
Art and Crafts Evening,2023-06-11T17:00:00-07:00,2023-06-11T17:45:00-07:00,test
Preschool Story Time,2023-06-19T10:30:00-07:00,2023-06-19T11:15:00-07:00,test
Baby and Toddler Story Time,2023-07-24T11:00:00-07:00,2023-07-24T11:45:00-07:00,test
Toddler Exploration: Dance!,2023-07-24T11:00:00-07:00,2023-07-24T11:45:00-07:00,test
Preschool Story Time,2023-07-24T11:15:00-07:00,2023-07-24T12:00:00-07:00,test
#brownbagdc Book Chat,2023-07-24T12:00:00-07:00,2023-07-24T12:45:00-07:00,test
Baby and Toddler Story Time,2023-08-08T10:30:00-07:00,2023-08-08T11:15:00-07:00,test
Preschool Story Time,2023-08-06T11:00:00-07:00,2023-08-06T11:45:00-07:00,test
Adult Learning Lab,2023-08-24T10:00:00-07:00,2023-08-24T10:45:00-07:00,test
Pajama Movie Night: The Lego Movie 2-The Second Part,2023-07-11T18:30:00-07:00,2023-07-11T19:15:00-07:00,test
This is My Story: Memoir Writing at the Petworth Writers' Workshops,2023-08-26T09:30:00-07:00,2023-08-26T10:15:00-07:00,test
Art AfterWords: A Book Discussion (SPECIAL EDITION) - Specimen Days by Michael Cunningham,2023-06-03T12:00:00-07:00,2023-06-03T12:45:00-07:00,test
Adult Computer Class,2023-06-05T13:30:00-07:00,2023-06-05T14:15:00-07:00,test
Nightwriters,2023-06-04T18:30:00-07:00,2023-06-04T19:15:00-07:00,test
Baby and Toddler Story Time,2023-06-05T11:00:00-07:00,2023-06-05T11:45:00-07:00,test
Adult Learning Lab,2023-06-15T10:00:00-07:00,2023-06-15T10:45:00-07:00,test
Baby and Toddler Story Time,2023-06-17T11:15:00-07:00,2023-06-17T12:00:00-07:00,test
Doggie Story Time,2023-06-15T12:00:00-07:00,2023-06-15T12:45:00-07:00,test
Bilingual Spanish Story Time,2023-07-09T10:00:00-07:00,2023-07-09T10:45:00-07:00,test
Northeast Writing Class,2023-07-10T14:00:00-07:00,2023-07-10T14:45:00-07:00,test
Yoga Mondays,2023-07-01T10:30:00-07:00,2023-07-01T11:15:00-07:00,test
Pajama Story Time,2023-07-08T19:00:00-07:00,2023-07-08T19:45:00-07:00,test
Strong Start Community Playgroup for 12-24 months (Registration Required),2023-07-09T11:00:00-07:00,2023-07-09T11:45:00-07:00,test
Baby Lap Time,2023-06-05T14:00:00-07:00,2023-06-05T14:45:00-07:00,test
Pajama Story Time,2023-07-01T19:00:00-07:00,2023-07-01T19:45:00-07:00,test
Wizarding World Crafts,2023-07-09T13:00:00-07:00,2023-07-09T13:45:00-07:00,test
It's Crochet Time,2023-06-04T10:00:00-07:00,2023-06-04T10:45:00-07:00,test
Baby Lap Time (Registration required),2023-07-11T10:00:00-07:00,2023-07-11T10:45:00-07:00,test
Free Poetry Workshop - Poets on the Fringe,2023-08-19T19:00:00-07:00,2023-08-19T19:45:00-07:00,test
Pajama Story Time,2023-08-19T19:00:00-07:00,2023-08-19T19:45:00-07:00,test
Story time at the Rosedale Conservancy,2023-08-20T10:30:00-07:00,2023-08-20T11:15:00-07:00,test
Baby and Toddler Story Time,2023-08-28T12:00:00-07:00,2023-08-28T12:45:00-07:00,test
Game Day,2023-08-25T14:00:00-07:00,2023-08-25T14:45:00-07:00,test
Baby and Toddler Story Time,2023-08-26T10:00:00-07:00,2023-08-26T10:45:00-07:00,test
Pajama Story Time,2023-06-18T19:00:00-07:00,2023-06-18T19:45:00-07:00,test
English Conversation Circle,2023-08-26T10:00:00-07:00,2023-08-26T10:45:00-07:00,test
Baby and Toddler Story Time (Registration Required),2023-08-26T10:00:00-07:00,2023-08-26T10:45:00-07:00,test
Skill Builders Meetup,2023-07-02T10:00:00-07:00,2023-07-02T10:45:00-07:00,test
Bilingual Spanish Story Time,2023-08-20T11:00:00-07:00,2023-08-20T11:45:00-07:00,test
Preschool Story Time,2023-08-20T11:30:00-07:00,2023-08-20T12:15:00-07:00,test
Manifest Your Expression Through Art,2023-08-20T12:30:00-07:00,2023-08-20T13:15:00-07:00,test
Improv Classes with Washington Improv Theater,2023-08-17T13:00:00-07:00,2023-08-17T13:45:00-07:00,test
STEAM Afternoon,2023-08-20T15:00:00-07:00,2023-08-20T15:45:00-07:00,test
Wonderful Ones,2023-08-20T15:30:00-07:00,2023-08-20T16:15:00-07:00,test
Legos After Lunch,2023-08-05T14:00:00-07:00,2023-08-05T14:45:00-07:00,test
Writers Working: A Petworth Library Writers Workshop,2023-06-18T19:00:00-07:00,2023-06-18T19:45:00-07:00,test
Music & Movement,2023-08-02T13:30:00-07:00,2023-08-02T14:15:00-07:00,test
Preschool Story Time,2023-06-26T11:15:00-07:00,2023-06-26T12:00:00-07:00,test
Writers Working: A Petworth Library Writers Workshop,2023-07-02T19:00:00-07:00,2023-07-02T19:45:00-07:00,test
Baby Lap Time,2023-07-01T13:00:00-07:00,2023-07-01T13:45:00-07:00,test
Teen Game Night,2023-08-15T16:00:00-07:00,2023-08-15T16:45:00-07:00,test
Truth Universally Acknowledged: A Pride and Prejudice Book Club,2023-08-06T19:00:00-07:00,2023-08-06T19:45:00-07:00,test
Fab Test Lab Safety Orientation,2023-06-01T17:00:00-07:00,2023-06-01T17:45:00-07:00,test
Legos After Lunch,2023-08-07T14:00:00-07:00,2023-08-07T14:45:00-07:00,test
Preschool Story Time,2023-06-18T11:00:00-07:00,2023-06-18T11:45:00-07:00,test
Baby and Toddler Story Time (Registration Required),2023-08-28T11:00:00-07:00,2023-08-28T11:45:00-07:00,test
Tuesday Talks: Jeff Wincott,2023-06-18T19:00:00-07:00,2023-06-18T19:45:00-07:00,test
Baby and Toddler Story Time,2023-08-28T11:00:00-07:00,2023-08-28T11:45:00-07:00,test
Family Story Time,2023-08-24T10:30:00-07:00,2023-08-24T11:15:00-07:00,test
Family Story Time,2023-08-24T10:30:00-07:00,2023-08-24T11:15:00-07:00,test
Family Story Time,2023-08-17T11:00:00-07:00,2023-08-17T11:45:00-07:00,test
STEM Story Time,2023-08-24T11:00:00-07:00,2023-08-24T11:45:00-07:00,test
Art AfterWords: A Book Discussion - Can't Stop Won't Stop: A History of the Hip-Hop Generation by Jeff Chang,2023-08-20T17:30:00-07:00,2023-08-20T18:15:00-07:00,test
Move to the Music!,2023-08-21T10:30:00-07:00,2023-08-21T11:15:00-07:00,test
Memory Lab Drop-In,2023-07-10T10:00:00-07:00,2023-07-10T10:45:00-07:00,test
Preschool Story Time,2023-08-17T10:30:00-07:00,2023-08-17T11:15:00-07:00,test
Preschool Story Time,2023-08-21T10:30:00-07:00,2023-08-21T11:15:00-07:00,test
1-on-1 Computer Help,2023-06-19T00:00:00-07:00,2023-06-19T00:45:00-07:00,test
Mystery Book Club,2023-08-15T19:00:00-07:00,2023-08-15T19:45:00-07:00,test
Afterschool Activity,2023-07-30T16:30:00-07:00,2023-07-30T17:15:00-07:00,test
Baby Lap Time,2023-07-31T14:00:00-07:00,2023-07-31T14:45:00-07:00,test
Memory Lab Drop-In,2023-08-14T10:00:00-07:00,2023-08-14T10:45:00-07:00,test
Baby and Toddler Story Time,2023-08-07T10:00:00-07:00,2023-08-07T10:45:00-07:00,test
Coffee & Conversation,2023-06-10T14:00:00-07:00,2023-06-10T14:45:00-07:00,test
Kid's Chess Club,2023-08-08T17:00:00-07:00,2023-08-08T17:45:00-07:00,test
Tenley Summer Afternoon Movies,2023-08-14T14:00:00-07:00,2023-08-14T14:45:00-07:00,test
Evening English Conversation Circles,2023-08-06T19:00:00-07:00,2023-08-06T19:45:00-07:00,test
Adult Learning Lab,2023-07-17T10:00:00-07:00,2023-07-17T10:45:00-07:00,test
English Conversation Circle,2023-06-05T10:00:00-07:00,2023-06-05T10:45:00-07:00,test
Adult Learning Lab,2023-07-24T10:00:00-07:00,2023-07-24T10:45:00-07:00,test
Adult Learning Lab,2023-07-29T16:00:00-07:00,2023-07-29T16:45:00-07:00,test
Family Story Time,2023-07-13T11:00:00-07:00,2023-07-13T11:45:00-07:00,test
Teen Scene at Tenley,2023-06-04T16:00:00-07:00,2023-06-04T16:45:00-07:00,test
1-on-1 Ayuda para la computadora,2023-06-11T00:00:00-07:00,2023-06-11T00:45:00-07:00,test
Baby and Toddler Story Time,2023-08-05T10:15:00-07:00,2023-08-05T11:00:00-07:00,test
Kids' Movie Series,2023-08-20T13:00:00-07:00,2023-08-20T13:45:00-07:00,test
Baby and Toddler Story Time,2023-08-26T10:15:00-07:00,2023-08-26T11:00:00-07:00,test
Saturday Morning Yoga,2023-07-27T10:00:00-07:00,2023-07-27T10:45:00-07:00,test
Fab Test Lab Safety Orientation,2023-06-27T17:00:00-07:00,2023-06-27T17:45:00-07:00,test
Preschool Story Time,2023-06-05T10:00:00-07:00,2023-06-05T10:45:00-07:00,test
Wiggle Time,2023-08-29T10:30:00-07:00,2023-08-29T11:15:00-07:00,test
Legos After Lunch,2023-07-24T14:00:00-07:00,2023-07-24T14:45:00-07:00,test
Baby Lap Time,2023-08-12T13:00:00-07:00,2023-08-12T13:45:00-07:00,test
Early Literacy Play Date,2023-08-05T10:00:00-07:00,2023-08-05T10:45:00-07:00,test
Pajama Movie Night: The Emperor's New Groove,2023-07-25T18:30:00-07:00,2023-07-25T19:15:00-07:00,test
Science in the Summer,2023-07-24T13:00:00-07:00,2023-07-24T13:45:00-07:00,test
Pacific Rhythm,2023-07-27T13:30:00-07:00,2023-07-27T14:15:00-07:00,test
Science in the Summer,2023-07-22T13:00:00-07:00,2023-07-22T13:45:00-07:00,test
Senior Game Day,2023-06-12T12:30:00-07:00,2023-06-12T13:15:00-07:00,test
Legos After Lunch,2023-07-22T14:00:00-07:00,2023-07-22T14:45:00-07:00,test
Morning English Conversation Groups,2023-06-05T10:00:00-07:00,2023-06-05T10:45:00-07:00,test
Adult Learning Lab,2023-07-30T16:00:00-07:00,2023-07-30T16:45:00-07:00,test
Make It!,2023-07-30T16:00:00-07:00,2023-07-30T16:45:00-07:00,test
Preschool Story Time,2023-06-12T10:30:00-07:00,2023-06-12T11:15:00-07:00,test
Family Story Time,2023-05-21T18:00:00-07:00,2023-05-21T18:45:00-07:00,test
Baby and Toddler Story Time,2023-06-07T10:30:00-07:00,2023-06-07T11:15:00-07:00,test
Baby Lap Time,2023-07-17T14:00:00-07:00,2023-07-17T14:45:00-07:00,test
"""Sit and Stay"" Dog Story Time",2023-07-25T18:30:00-07:00,2023-07-25T19:15:00-07:00,test
Upper NW Knitters,2023-07-25T18:30:00-07:00,2023-07-25T19:15:00-07:00,test
Southeast Book Club,2023-07-25T19:00:00-07:00,2023-07-25T19:45:00-07:00,test
Shut Up & Write,2023-07-26T10:00:00-07:00,2023-07-26T10:45:00-07:00,test
Baby and Toddler Story Time,2023-06-13T10:00:00-07:00,2023-06-13T10:45:00-07:00,test
Adult Learning Lab,2023-06-05T10:00:00-07:00,2023-06-05T10:45:00-07:00,test
Monday Crafternoons for Kids,2023-07-08T15:30:00-07:00,2023-07-08T16:15:00-07:00,test
Pajama Story Time,2023-08-05T19:00:00-07:00,2023-08-05T19:45:00-07:00,test
Adult Learning Lab,2023-08-06T10:00:00-07:00,2023-08-06T10:45:00-07:00,test
Preschool Story Time,2023-07-20T10:30:00-07:00,2023-07-20T11:15:00-07:00,test
Preschool Story Time (Registration Required),2023-07-23T10:00:00-07:00,2023-07-23T10:45:00-07:00,test
Adult Computer Class,2023-07-17T13:30:00-07:00,2023-07-17T14:15:00-07:00,test
Baby/Toddler Story Time,2023-08-05T10:00:00-07:00,2023-08-05T10:45:00-07:00,test
Music Production with Words Beats & Life,2023-08-07T17:00:00-07:00,2023-08-07T17:45:00-07:00,test
Saturday Morning Yoga,2023-08-10T10:00:00-07:00,2023-08-10T10:45:00-07:00,test
Learn Chess,2023-08-10T13:00:00-07:00,2023-08-10T13:45:00-07:00,test
SHAKESPEARE FOR THE YOUNG,2023-06-11T10:30:00-07:00,2023-06-11T12:00:00-07:00,test
Toddler Art Storytime,2023-07-22T15:30:00-07:00,2023-07-22T16:15:00-07:00,test
Little Builders,2023-07-27T10:00:00-07:00,2023-07-27T10:45:00-07:00,test
Story Time at Chinatown Parks,2023-07-30T10:30:00-07:00,2023-07-30T11:15:00-07:00,test
English Conversation Circle,2023-08-07T10:00:00-07:00,2023-08-07T10:45:00-07:00,test
Pajama Story Time,2023-07-30T19:00:00-07:00,2023-07-30T19:45:00-07:00,test
Writers Working: A Petworth Library Writers Workshop,2023-07-30T19:00:00-07:00,2023-07-30T19:45:00-07:00,test
Evening English Conversation Circles,2023-07-30T19:00:00-07:00,2023-07-30T19:45:00-07:00,test
1-on-1 Computer Help,2023-07-31T00:00:00-07:00,2023-07-31T00:45:00-07:00,test
